,Accuracy,F1 (weighted),Time(s)
CatBoost,0.285,0.24042136744059825,1.1103675365447998
SVC (RBF),0.285,0.2720185158879659,2.1203198432922363
AdaBoost,0.285,0.2611453111316995,1.0299534797668457
Random Forest,0.28,0.20775136228818433,1.4743342399597168
Extra Trees,0.275,0.23492791043542924,1.3480744361877441
Naive Bayes,0.275,0.23686618401144335,0.016594648361206055
SVC (Linear),0.27,0.1842263350244043,1.9841227531433105
KNN,0.27,0.24273800330943188,0.025330543518066406
Logistic (L1),0.26,0.22001194251668635,2.8983538150787354
LightGBM,0.255,0.24799017043532917,0.49317312240600586
Logistic (ElasticNet),0.25,0.20755526273555824,2.3695788383483887
XGBoost,0.25,0.22923491308350966,3.612145185470581
Logistic Regression,0.245,0.20391082104233896,0.2130296230316162
Decision Tree,0.24,0.19935685518140914,0.018567323684692383
Gradient Boosting,0.24,0.2230546834222852,14.28835940361023
SGD Classifier,0.24,0.23717050015469962,0.053421974182128906
LDA,0.235,0.19445865001480583,0.023743391036987305
QDA,0.19,0.16641015417331206,0.02239227294921875
