,RMSE,MAE,R²,Time(s)
Linear Regression,5.003652368744205,4.067835722502656,0.9023646792903739,0.12337231636047363
Ridge,5.017645996714849,4.0895370280071806,0.9018178056192634,0.030155420303344727
Bayesian Ridge,5.027255797927755,4.101628487592632,0.9014413681909239,0.038747549057006836
Huber,5.047031190916298,4.123924171581538,0.9006644556354011,0.341402530670166
Lasso,5.077233639199325,4.130770286039279,0.8994720106683322,0.025707721710205078
CatBoost,5.233774840994298,4.216242547286117,0.893177492283384,0.8215110301971436
ElasticNet,5.261447435839952,4.296061630291917,0.8920448983679028,0.016445398330688477
XGBoost,5.515854851700911,4.451893545150757,0.8813525640435418,2.5792784690856934
Extra Trees,5.572762982578745,4.500524999999995,0.878891718044352,2.2475762367248535
Random Forest,5.619558959655986,4.4762826207159385,0.8768492211154936,2.8675880432128906
Gradient Boosting,5.688565758314941,4.515203234729775,0.8738061285109657,2.566647529602051
LightGBM,5.838955065003929,4.676337385115847,0.867045523370971,0.15855908393859863
SVR,5.871618110413319,4.844038344972286,0.8655538713339548,0.27918267250061035
AdaBoost,6.2462100398444935,5.070751020505236,0.8478521335119703,1.9987752437591553
KNN Regressor,7.123501202902622,5.666714285714286,0.8021118890979708,0.11423635482788086
Decision Tree,7.503275080187828,5.881392041207566,0.7804494973184803,0.015775442123413086
XGBoost (Tuned),5.276534550979148,4.2800105133056645,0.8914248917069976,0.0
