Feature,Mean_SHAP
study_efficiency,3.9998238
study_screen_ratio,3.3891442
study_hours_per_day,3.1943815
study_x_mh,2.6250043
wellbeing,2.2715073
lifestyle_score,1.1909223
study_sq,1.1729892
exercise_frequency,0.6887346
screen_time,0.6419931
sleep_hours,0.52770615
social_media_hours,0.44079795
diet_enc,0.41328076
attendance_percentage,0.40008965
mental_health_rating,0.30930015
netflix_hours,0.26834136
sleep_sq,0.24780357
pressure_index,0.16219126
edu_enc,0.10017633
age,0.09295097
inet_enc,0.06619633
has_job,0.05581784
is_female,0.044249397
has_extra,0.035029933
