source_id,target_id
0,143
1,145
2,144
3,146
4,148
5,150
6,188
7,154
8,155
9,147
10,151
11,159
12,152
13,162
14,158
15,164
16,160
17,166
18,161
19,157
20,165
21,167
23,170
24,182
25,178
26,153
27,174
28,172
29,179
30,169
31,173
32,175
33,187
34,180
35,171
36,177
37,186
38,168
39,181
40,190
41,176
42,192
43,184
44,183
45,196
46,195
48,205
49,204
50,189
52,199
53,201
54,185
55,203
56,194
57,200
58,208
59,214
60,209
61,202
62,198
63,207
64,210
65,213
66,156
67,211
68,206
69,193
70,216
71,226
73,218
76,215
77,222
78,219
79,217
80,221
81,220
82,228
83,247
85,212
86,227
87,234
88,230
89,260
90,236
91,224
93,243
94,231
95,239
96,235
97,232
98,251
99,229
100,237
101,242
102,244
103,267
104,241
105,249
106,250
107,253
108,256
109,223
110,238
112,246
113,252
114,245
116,258
118,261
119,257
120,248
121,263
123,255
124,225
125,259
126,254
127,268
128,269
129,264
130,270
132,277
134,266
135,265
136,274
138,262
139,273
140,272
141,275
142,276
158,149
143,278
144,289
145,279
146,282
147,304
148,286
149,284
150,285
151,287
152,280
153,281
154,295
155,301
156,291
157,309
158,378
159,293
160,292
161,288
162,297
163,296
164,283
165,294
166,300
168,298
169,299
170,310
171,317
172,313
173,312
174,320
175,302
176,339
177,308
178,386
179,303
180,311
181,305
182,316
183,307
184,315
185,365
186,314
187,334
188,326
189,319
190,331
191,324
192,323
193,349
194,318
195,321
196,329
197,327
198,330
199,344
200,322
201,335
202,345
203,333
204,341
205,340
206,351
207,336
208,350
209,337
210,352
211,342
213,348
214,359
215,346
216,371
217,353
218,347
219,368
220,357
221,290
222,379
223,366
224,364
225,360
226,358
227,363
228,362
229,372
230,401
231,376
233,338
234,356
235,382
236,375
238,407
239,389
240,370
241,361
242,423
243,374
244,388
245,377
246,385
247,380
248,390
249,393
250,394
251,384
252,399
253,367
254,396
255,398
256,392
257,369
258,400
259,395
260,354
261,410
262,402
263,408
264,412
265,417
266,404
267,409
268,405
269,415
270,413
271,381
272,426
273,418
274,416
275,424
276,419
277,421
301,325
311,328
357,355
359,383
361,387
374,403
278,427
279,428
280,433
281,431
282,429
283,435
284,441
285,432
286,430
287,452
288,440
289,434
290,444
291,443
292,436
293,439
294,442
295,438
296,461
297,447
298,453
299,490
300,451
301,445
302,458
303,454
304,437
305,471
306,457
307,449
309,456
310,446
311,448
312,464
313,455
314,467
315,473
317,478
318,476
319,475
320,466
321,470
322,468
323,465
325,474
326,479
327,469
328,460
330,483
331,472
332,463
333,481
334,462
335,488
336,486
337,485
338,489
339,492
340,480
341,477
342,487
343,491
344,493
345,484
346,500
347,494
348,498
349,497
350,482
351,495
352,499
354,505
355,501
356,506
357,513
358,508
360,503
363,514
364,511
365,504
366,502
368,509
369,507
370,510
371,515
372,520
374,519
375,521
376,518
377,524
379,512
380,517
381,522
382,516
384,523
385,530
386,496
387,533
389,526
390,527
391,529
392,532
394,539
395,544
396,536
397,531
398,535
401,525
402,552
404,528
405,537
406,538
407,553
408,540
410,541
411,547
412,550
413,560
415,546
416,556
417,558
418,554
420,549
421,545
423,534
425,559
426,557
232,542
544,548
541,551
427,561
428,563
429,565
430,569
431,564
432,567
433,562
434,571
435,575
436,572
437,581
438,582
439,588
440,573
441,574
442,578
443,576
444,568
445,577
446,587
447,586
448,590
449,584
451,566
452,585
453,579
454,589
455,583
456,606
457,591
458,596
459,595
461,593
462,602
464,621
465,609
466,601
467,603
468,612
469,607
470,599
471,600
472,604
473,605
474,617
475,610
476,597
477,614
478,608
479,611
480,624
481,616
482,623
483,619
484,615
485,620
486,633
487,627
488,626
489,594
490,628
491,625
492,622
493,629
494,630
495,641
497,639
498,634
499,637
501,638
502,636
503,632
504,643
505,665
506,644
507,645
508,631
510,663
511,647
513,642
514,598
515,648
516,658
517,669
518,655
519,649
520,650
521,640
522,664
523,661
524,666
525,660
527,659
528,676
530,657
531,652
532,668
533,673
535,678
537,672
538,670
539,675
541,680
542,671
543,677
545,682
546,679
547,683
548,681
550,684
552,687
553,667
554,686
556,689
557,695
558,688
559,693
560,691
585,580
584,592
324,613
607,618
212,651
388,654
359,662
419,685
424,690
561,696
562,697
563,698
564,700
565,701
566,709
567,699
568,717
569,707
570,722
571,703
572,705
573,704
574,710
575,708
576,706
577,720
578,718
579,702
580,711
582,714
583,721
584,719
585,727
586,716
587,724
588,715
589,726
590,723
591,732
592,713
593,728
594,740
595,731
596,730
597,745
598,712
599,738
600,742
601,734
602,737
603,729
604,741
605,744
606,725
607,739
608,754
609,733
610,736
611,747
612,752
614,748
616,746
617,751
619,749
620,755
621,757
622,750
623,743
624,753
625,758
626,759
628,769
629,768
630,761
631,764
632,767
633,756
634,766
635,760
636,778
639,774
640,781
641,765
643,776
644,771
645,783
646,773
647,780
648,786
649,793
650,792
651,777
652,763
653,790
654,788
655,782
657,791
658,797
659,799
660,789
662,779
663,785
664,798
665,802
666,796
667,775
668,800
672,807
674,803
675,810
676,808
677,809
678,795
679,811
680,805
681,806
682,812
683,816
684,801
686,814
687,815
688,817
689,818
690,820
691,819
693,822
695,821
316,735
790,770
237,784
367,787
526,794
399,804
