Feature,Importance
Glucose_BMI,0.11317580106315847
Glucose_BMI_Index,0.11202292054947527
Glucose_Age,0.0939025735527685
glucose_concentration,0.09173775631204943
BMI_Age,0.07084438873329461
age,0.06457312725953153
bmi,0.05532040747641005
Pedigree_Age,0.05449886808782501
diabetes pedigree,0.04762305912848579
Metabolic_Risk_Score,0.04385458983960971
blood_pressure,0.04328748710796194
no_times_pregnant,0.03720973522736337
skin_fold_thickness,0.02877825723750635
Insulin_Resistance,0.026383384313809183
serum_insulin,0.024737958148871007
Insulin_BMI,0.024682287919622306
Insulin_Glucose_Ratio,0.02384749054130974
Obesity,0.02099631371732196
High_Glucose,0.015496282484253502
High_Genetic_Risk,0.007027311299372118
Hypertension,0.0
