Model,CV AUC (mean),CV AUC (std),Test AUC,Accuracy,F1,Balanced Acc,MCC,Train Time (s)
Extra Trees,0.5115254141371124,0.02196250573024723,0.5259999653391562,0.5073529411764706,0.5327754532775453,0.5059703303178399,0.011957925487252231,5.735269546508789
CatBoost,0.5007349864171978,0.016139914733470446,0.5251464420643999,0.5323529411764706,0.5859375,0.5279193095559946,0.05716156515731888,100.81208276748657
Random Forest (baseline),0.5021689890242028,0.018019360113379703,0.5243795708987556,0.5191176470588236,0.5464632454923717,0.5175123912516031,0.03510594573894264,3.3384792804718018
XGBoost (baseline),0.49525706430321526,0.02520233334464064,0.5239246473259159,0.5205882352941177,0.5446927374301676,0.5192887594884059,0.03862574591800147,12.44931697845459
LightGBM,0.4941070088045789,0.019164915024075174,0.5218969879726872,0.5264705882352941,0.5672043010752689,0.523482721569443,0.04744140616255465,14.644330739974976
KNN,0.5142760235601477,0.007194329410558276,0.5058880108141832,0.5029411764705882,0.4477124183006536,0.5079200027728675,0.016307961664995305,0.1513376235961914
AdaBoost,0.4839311469277644,0.009391865323545254,0.5056020588541126,0.5117647058823529,0.6103286384976526,0.5022009635714533,0.004967100141364243,12.086220026016235
Naive Bayes,0.4940889066401211,0.013301326858261216,0.5055890610377457,0.5205882352941177,0.5721784776902887,0.5164985615749887,0.033648985508251524,0.08690285682678223
Gradient Boosting,0.4869883139114875,0.02559396450399754,0.49441093896225435,0.5029411764705882,0.546916890080429,0.4997920349381304,-0.0004205247186608261,14.35677456855774
Decision Tree,0.494275364122847,0.01639202525561646,0.4876780700842258,0.49411764705882355,0.5388739946380697,0.4909535198086722,-0.018292825261745936,0.17859625816345215
SGD Classifier,0.48634019452487287,0.024047612348435277,0.48273889986482266,0.49264705882352944,0.5571245186136072,0.48747877023326747,-0.025841805681732093,0.11733388900756836
Logistic Regression,0.4824794900074806,0.01306972613718115,0.47247929014592216,0.48823529411764705,0.5817307692307693,0.4798447194204707,-0.04406965412105712,0.11111760139465332
Ridge Classifier,0.4830887681960581,0.013498006095578115,0.47215867734220657,0.4852941176470588,0.5772946859903382,0.4771411736161658,-0.04970173790142683,0.05201244354248047
