Feature,PI Mean,PI Std
Cust_Total,0.008056913105264971,0.01384287352570612
Review Rating,0.0069425669820802945,0.00973863644325233
Purchase Amount (USD),0.0045345048698484935,0.006770029023732543
Day,0.003218475962704906,0.009554039031063135
DayOfWeek,0.0012902499046826387,0.007476429089238349
Revenue_Pct,0.0009250112647741559,0.000789908359729141
Month,0.0009091972548611437,0.002825189090607476
Item_TopFlag,0.0006351599597933744,0.0006948834642142657
Quarter,0.0002686215382481982,0.00039726944440544534
Revenue_Bin_Enc,0.00023439395514883167,0.00026621348623203565
HighRating_Flag,6.802190565314282e-05,0.0002645271187621283
Year,0.0,0.0
Rating_Rank,0.0,0.0
Amount_Rank,0.0,0.0
Amount_Zscore,0.0,0.0
Item_Vest,0.0,0.0
HighValue_Flag,-3.899344910085478e-06,0.0005880510853305044
WeekOfYear,-0.00012304599493955236,0.0012343701675914902
Season,-0.00016853835222352398,0.002391561282032986
Item_AvgAmt,-0.00047398703684453094,0.00841437985941683
