Formulation,Energy_kcal,Carb_pct,Protein_pct,Fat_pct,Moisture_g,Ash_g,Fiber_g,Replicate,Na_mg,K_mg,Ca_mg,Zn_mg,Fe_mg,P_mg,I_mg,Mg_mg,Cu_mg,VitA,VitE,VitK,VitC,VitB1,VitB2,VitB3,VitB5,VitB6,VitB7,VitB9,Hardness_g,Firmness_g,Strength_g,pH,L_star,a_star,b_star,Chroma,Appearance,Colour,Texture,Flavour,Aroma,Overall_Accept,TPC_mgGAE,TFC_mgQE,DPPH_pct,Formulation_Name,NQI,AOI,MDI,TQI,SAI,OPEI,FibreCarb_Ratio,Protein_Energy_Density,Mineral_Density_Score,Texture_Cohesion_Ratio,Antioxidant_Composite,Sensory_Consistency,Color_Vividness
A,129.32,72.2,0.03,0.02,23.25,1.36,3.2,1,13.73,12.86,4.49,0.0,0.49,0.18,0.09,1.71,0.0,8.51,0.02,0.69,0.42,0.009,0.009,0.022,0.022,0.022,0.024,0.0,743.22,122.34,278.56,2.41,1.417,0.525,0.642,0.8293304528352977,8.95,8.47,8.48,8.48,8.23,8.49,67.21,229.64,66.61,Corn Flour,19.242236763979673,0.0,3.6401689669861916,99.15593245834383,85.16666666666669,37.26330773812776,0.04432132902602037,0.023198267683279712,5.173213733374575,0.16460805661229777,70.12222222222222,0.262049613623069,0.5852716073138253
A,129.3,72.23,0.03,0.02,23.02,1.32,3.26,2,13.72,12.9,4.2,0.0,0.51,0.18,0.08,1.7,0.0,8.54,0.02,0.73,0.4,0.008,0.009,0.021,0.02,0.023,0.023,0.0,740.76,115.65,282.34,2.53,1.42,0.53,0.65,0.8386894538504702,9.0,8.85,8.86,8.86,8.71,8.86,67.34,230.44,66.7,Corn Flour,17.955749651404844,1.3580177932532846,3.017241327288942,89.928876898276,88.56666666666668,36.48369292833261,0.04513360037195624,0.023201855969049837,4.957463263727765,0.15612344057977828,70.28444444444445,0.1026157882589221,0.5906259600172608
A,130.2,72.32,0.02,0.02,23.1,1.3,3.24,3,13.7,12.72,4.66,0.0,0.44,0.16,0.09,1.75,0.0,8.42,0.01,0.68,0.44,0.01,0.009,0.022,0.017,0.021,0.021,0.0,745.33,118.76,290.78,2.65,1.423,0.535,0.658,0.848050116443598,9.05,9.23,9.24,9.24,9.19,9.23,67.47,231.24,66.79,Corn Flour,16.802805922270554,2.716035586506538,2.4148615044082358,95.58896006362193,91.96666666666667,37.97361694573213,0.04480088433627097,0.015360982984938688,5.261136712749616,0.15933881614943876,70.44666666666667,0.08093207028119304,0.5959589040651397
B,181.5,62.8,0.96,0.62,24.6,1.12,9.9,1,14.58,13.0,9.1,0.3,0.92,0.15,0.07,15.1,0.05,8.51,0.019,0.69,0.42,56.71,0.009,0.022,0.022,0.022,0.024,0.0,701.23,111.34,254.55,2.28,1.459,0.545,0.625,0.8292466460589395,7.98,8.32,7.97,8.05,7.95,8.24,78.76,254.12,79.76,Oats Flour,64.88662945151488,84.01879723937601,92.97701799058264,68.80511405748622,80.85000000000001,77.66367647993306,0.15764330959166706,0.52892561692052,14.005509641873276,0.1587781467438955,81.07555555555557,0.15339491516996262,0.5683660573631817
B,181.48,62.84,0.92,0.6,24.23,1.1,9.95,2,14.51,13.2,9.14,0.3,0.99,0.14,0.07,16.08,0.04,8.45,0.02,0.72,0.41,56.8,0.009,0.021,0.022,0.023,0.023,0.0,698.2,105.43,250.9,2.84,1.46,0.552,0.627,0.8353639925206258,8.59,8.76,8.59,8.65,8.65,8.71,78.78,254.3,79.88,Oats Flour,62.9805993123662,84.55241245232149,97.90044368165177,60.31110481956505,86.58333333333333,77.93165188302112,0.15833863529060097,0.506942911026323,14.607670266696058,0.15100257784158896,81.14222222222223,0.06942621983083912,0.5721667262697943
B,181.46,63.1,1.02,0.68,24.51,1.11,10.05,3,14.5,12.8,9.08,0.31,0.9,0.15,0.06,15.95,0.04,8.57,0.024,0.66,0.43,56.38,0.01,0.024,0.021,0.02,0.026,0.0,682.33,109.56,261.78,3.4,1.461,0.553,0.638,0.8443062240680215,9.2,9.2,9.21,9.25,9.35,9.18,78.8,254.48,80.0,Oats Flour,67.04119812905773,85.08602766526695,94.29793292174946,59.05131059023386,92.31666666666666,79.497526308712,0.15927099589110943,0.5621073483847274,14.460487159704616,0.16056746711918357,81.2088888888889,0.0637965516309463,0.5778957194882286
C,181.0,63.8,0.44,0.12,32.8,1.68,1.16,1,14.82,19.6,5.81,0.04,0.6,6.65,0.07,3.58,0.0,8.51,0.019,0.69,0.42,24.71,2.25,273.0,38.17,18.72,0.024,9.54,680.92,90.8,223.45,2.51,1.281,0.357,0.419,0.5504634411112149,8.28,8.51,8.18,8.52,8.06,8.24,70.72,229.72,70.07,Rice Flour,37.698154697755676,16.38557237158945,21.53855958611227,35.372430578328704,82.98333333333335,38.6542469586691,0.018181817896836712,0.24309392130887336,5.541436464088396,0.13334899821807408,72.45444444444445,0.2027313493271327,0.4297135139716636
C,180.8,63.78,0.47,0.11,32.85,1.61,1.14,2,14.32,19.7,5.66,0.032,0.54,6.56,0.06,3.87,0.0,8.46,0.018,0.71,0.4,24.66,2.21,272.34,38.23,17.89,0.024,9.52,689.55,91.3,230.15,2.78,1.29,0.36,0.42,0.5531726674375732,8.73,8.86,8.67,8.87,8.67,8.8,70.94,229.8,70.09,Rice Flour,36.005885133632546,17.00210862435241,18.052254615836997,39.44077378808791,87.66666666666666,39.409286033418304,0.017873941394262443,0.259955750774581,5.587389380530973,0.13240519159973144,72.54333333333334,0.09899494936611629,0.4288156888541739
C,181.2,64.22,0.48,0.12,32.75,1.64,1.18,3,14.55,19.54,5.92,0.04,0.59,6.78,0.066,3.6,0.0,8.5,0.019,0.65,0.42,24.56,2.22,273.04,38.09,18.07,0.022,9.43,690.42,90.56,226.7,2.96,1.299,0.363,0.421,0.5558866790992567,9.18,9.21,9.16,9.22,9.28,9.36,71.16,229.88,70.11,Rice Flour,37.60390743090334,17.618644877115308,21.69897578618116,38.87702242893501,92.35000000000001,41.362037809272096,0.018374337926279384,0.26490066078973146,5.601545253863134,0.13116653612125007,72.63222222222221,0.0458257569495582,0.42793398857988313
D,180.62,62.9,0.52,0.15,32.88,1.99,0.6,1,44.5,23.5,6.19,0.0,0.91,0.15,0.07,1.94,0.0,8.51,0.019,0.69,0.42,0.011,0.01,0.02,0.02,0.02,0.02,0.0,623.44,82.34,210.9,2.7,1.366,0.459,0.539,0.7079562133352599,8.39,8.05,7.71,7.97,8.27,7.89,82.25,260.72,74.46,Puffed Rice Powder,49.99999945880151,85.47469245221633,30.746716697364658,1.9547369602488016,80.46666666666667,54.86722435972981,0.009538950563768672,0.28789724123631244,5.00498283689514,0.13207365563314247,81.20555555555556,0.2655560204551952,0.518269176475903
D,180.8,63.8,0.58,0.14,32.9,1.9,0.72,2,44.32,23.22,6.02,0.0,0.88,0.11,0.07,1.98,0.0,8.5,0.02,0.68,0.4,0.013,0.01,0.02,0.01,0.02,0.02,0.0,620.34,82.99,207.77,2.74,1.372,0.46,0.539,0.7086049675242194,8.8,8.67,8.33,8.6,8.73,8.53,82.34,260.88,74.54,Puffed Rice Powder,49.05249338265407,86.04080649615541,28.66283041564443,1.5155248887344563,86.1,55.5200782653592,0.0112852662807952,0.32079645840267446,4.91150442477876,0.1337814744595198,81.28000000000002,0.1811905074776272,0.5164755474115685
D,180.42,63.5,0.54,0.14,32.94,1.91,0.68,3,44.58,23.49,6.23,0.0,1.02,0.17,0.065,2.01,0.0,8.44,0.019,0.77,0.44,0.01,0.01,0.02,0.02,0.02,0.02,0.0,621.4,81.76,206.72,2.87,1.372,0.461,0.542,0.7115370686057052,9.21,9.29,8.95,9.23,9.19,9.17,82.43,261.04,74.5,Puffed Rice Powder,47.95259841937434,86.3081901444998,35.8122218763774,0.4240339226798698,91.73333333333333,57.34730217749379,0.010708661248682501,0.2993016278721782,5.132468684181355,0.13157386525334108,81.31444444444445,0.13069047402163655,0.5186126457675361
