,Energy_kcal,Carb_pct,Protein_pct,Fat_pct,Moisture_g,Ash_g,Fiber_g,Na_mg,K_mg,Ca_mg,Zn_mg,Fe_mg,P_mg,I_mg,Mg_mg,Cu_mg,VitA,VitE,VitK,VitC,VitB1,VitB2,VitB3,VitB5,VitB6,VitB7,VitB9,Hardness_g,Firmness_g,Strength_g,pH,L_star,a_star,b_star,Chroma,Appearance,Colour,Texture,Flavour,Aroma,Overall_Accept,TPC_mgGAE,TFC_mgQE,DPPH_pct
Energy_kcal,1.0,-0.9952164229801056,0.8070392149075765,0.5275508248515095,0.65144747603454,0.299023565625666,0.09319904022846276,0.3509905056105782,0.5472100455353438,0.6632703538756096,0.4040939153172789,0.7337782067398944,0.3281566868490868,-0.9999029160565486,0.41544430848303354,0.34515854720281464,,-0.9999029160565487,,,0.5166145340247821,0.3324631982975222,0.3322667044142939,0.33224716533978405,0.3322235386526293,-0.3224744903291421,0.33226987852459156,-0.7411738822473131,-0.739602413412148,-0.7916540683890525,0.23114351681965456,-0.30767279451674745,-0.4143285215667004,-0.5547733584257897,-0.49857943681018324,-0.9098996464982256,-0.41730663807788293,-0.8036165974936663,0.05642309326667545,-0.46961685146110277,-0.735557301393051,0.7183571572344151,0.5695091820173293,0.7229996374130172
Carb_pct,-0.9952164229801056,1.0,-0.8370727861625158,-0.5671088658902995,-0.6153835741609208,-0.2869363069331213,-0.13249457810106202,-0.39814503217435493,-0.5366494989703047,-0.7005508005765044,-0.4330519798617042,-0.7965134074803785,-0.23443814290191367,0.9950801869511323,-0.44489331129044435,-0.38554767391095524,,0.9950801869511323,,,-0.5162100143821933,-0.23887336787629843,-0.23866906953771633,-0.23864875546676095,-0.23862419191023024,0.370860143476252,-0.23867236956392476,0.7578453428274081,0.7240252284355403,0.776699065844128,-0.22951032329863147,0.22962296951167827,0.33560357181348965,0.48025748873939517,0.422087269663371,0.9142926097157383,0.48958632169417293,0.8492803908898895,0.9745862207847774,0.4477217589859572,0.7674439217814959,-0.7805266193114653,-0.6460160058361386,-0.774638980211432
Protein_pct,0.8070392149075765,-0.8370727861625158,1.0,0.925073739509229,0.08399751490308809,-0.2494993922502236,0.6505768009491186,0.07833749570209667,0.015362745985062664,0.9768178917532668,0.8459558929995503,0.8475526077237515,-0.08690316995425802,-0.8001648812021575,0.8534562929297774,0.8263997953399332,,-0.8001648812021571,,,0.8332692578745252,-0.08306421127134922,-0.08307744167007805,-0.08307875622812312,-0.0830803455396891,-0.05684231396518059,-0.08307722810295626,-0.36479949779409804,-0.23797013524980362,-0.31245157135632967,-0.28021415764399504,0.28136946448723327,0.15778014919716385,-0.006751334901020413,0.06126546806354033,-0.9589292735481247,-0.36268355758779036,-0.6752447860111962,-0.5071939539168191,-0.7199914501688763,-0.4458569893652021,0.7259236105840579,0.6770072684048983,0.9698080000866875
Fat_pct,0.5275508248515095,-0.5671088658902995,0.925073739509229,1.0,-0.29922719243295065,-0.5833758274745137,0.8898003532965338,-0.17929604992175927,-0.356307648536344,0.984728783463368,0.9778674587588083,0.7100053575684788,-0.27070951925940334,-0.5171264284702511,0.9807487685799374,0.9781789068654154,,-0.5171264284702506,,,0.9084027180436465,-0.2680349035528444,-0.2679068032072811,-0.26789406457691345,-0.267878660876292,0.19314360581419038,-0.2679088725809737,-0.012533036877792416,0.14739029179040627,0.07106776871881183,-0.5927674696041363,0.5702631068676068,0.4563404369540132,0.30885124022034915,0.3709109448493206,-0.8151676599377693,-0.18312802880244675,-0.4137232328487841,-0.42783453619769796,-0.79057300474149,-0.12504117126680195,0.5352186040977162,0.5517426216607039,0.916504981433651
Moisture_g,0.65144747603454,-0.6153835741609208,0.08399751490308809,-0.29922719243295065,1.0,0.8758560599414756,-0.6940806289750039,0.5981945576848215,0.9500437288847967,-0.13122648981807297,-0.42672576540584284,0.22072941960979028,0.5667216319289121,-0.660986801444699,-0.41609908611357493,-0.48712763301793904,,-0.6609868014446995,,,-0.2523093026700451,0.5692489158223344,0.5689002014534765,0.5688655259962555,0.5688235964156313,-0.5792085999995193,0.568905834463118,-0.8470626494609105,-0.9730514638507523,-0.9621659792735647,0.8136005159757349,-0.8313492443784937,-0.8472101309434562,-0.8737032617081752,-0.8657442358215026,-0.28728005275231805,-0.35377080706738484,-0.5647020071968291,0.3710786769720087,0.21047699461463995,-0.7459526622292946,0.3649525337958401,0.18848920989718068,0.009628954562665274
Ash_g,0.299023565625666,-0.2869363069331213,-0.2494993922502236,-0.5833758274745137,0.8758560599414756,1.0,-0.8779960063579606,0.8010474005374716,0.9622087580307712,-0.43780078746248335,-0.7273445044762288,0.1055498509536248,0.24961412756971246,-0.3122425445607758,-0.717424828564056,-0.7344296470654859,,-0.31224254456077605,,,-0.6592664765286199,0.2510661121941429,0.2506671479655243,0.25062747976381505,0.25057951392026956,-0.7959985995140895,0.25067359211217155,-0.8044617554623865,-0.8618541916277862,-0.818157780244375,0.9920106349214367,-0.6888210031144569,-0.6453098914326291,-0.6146923466500064,-0.6295463811658684,0.12167115772540488,-0.5137757407653195,-0.48086883415331383,0.02938292434237347,0.6525806812910585,-0.7230257760522913,0.31376185033099335,0.20875980255485682,-0.22357198128796058
Fiber_g,0.09319904022846276,-0.13249457810106202,0.6505768009491186,0.8898003532965338,-0.6940806289750039,-0.8779960063579606,1.0,-0.48350247382068356,-0.7391004583902956,0.7967655876995323,0.9462973509617918,0.38247415151204184,-0.3996996865865468,-0.08036774064327273,0.9427863430792359,0.9651931570459129,,-0.08036774064327222,,,0.8346083261662095,-0.3989938537544789,-0.39871309064726557,-0.39868517272027015,-0.39865141449190045,0.4861077904928083,-0.39871762590983145,0.4270922654418868,0.5824919383906392,0.5181373932771224,-0.8647857511646914,0.7803405878839258,0.6986277358872176,0.600830636402303,0.6433602737880437,-0.48931226775785935,0.10422354637933061,0.0025607175621976423,-0.32864012083987276,-0.7431699336130433,0.3041746493879051,0.17504372985255995,0.26131104067396654,0.6593950050147224
Na_mg,0.3509905056105782,-0.39814503217435493,0.07833749570209667,-0.17929604992175927,0.5981945576848215,0.8010474005374716,-0.48350247382068356,1.0,0.8110244041752362,-0.05381664858586257,-0.3797356490653847,0.5631691908204883,-0.3157116817729806,-0.36178206305840066,-0.36700309616330085,-0.32417707943264185,,-0.3617820630584001,,,-0.4858454067389202,-0.3131597399089044,-0.31356575897432337,-0.31360612293939283,-0.31365492871027895,-0.9995183441940577,-0.3135592017030159,-0.8692460045015702,-0.7219016363879659,-0.6959438524924123,0.8487764110037113,-0.14324759233691664,-0.11670482438275406,-0.13487482861848119,-0.12801186077774007,-0.04339080639119244,-0.9206767626251324,-0.7824746192734379,-0.6064949704279918,0.6163781733033662,-0.8925347479785619,0.7316467648992849,0.7112977754846624,0.21974983647407548
K_mg,0.5472100455353438,-0.5366494989703047,0.015362745985062664,-0.356307648536344,0.9500437288847967,0.9622087580307712,-0.7391004583902956,0.8110244041752362,1.0,-0.19002269657026105,-0.5196024322743581,0.31133886788584353,0.29896264947583306,-0.5587925760584496,-0.5075758246857012,-0.5409316261387727,,-0.5587925760584497,,,-0.4320670676991305,0.30148577805788784,0.3010779977493919,0.3010374525342291,0.3009884261185805,-0.7986396178369614,0.30108458436026025,-0.9207482252014847,-0.9659294947541442,-0.9424673609881677,0.9373888049238093,-0.6814041415555154,-0.673482416082945,-0.6872535742292285,-0.6839878477566259,-0.15320274015514126,-0.5812404507569339,-0.658518825973781,0.012364052374530844,0.44279494632020483,-0.8498519465363955,0.4898213846936604,0.35724224001825056,0.017399915243783627
Ca_mg,0.6632703538756096,-0.7005508005765044,0.9768178917532668,0.984728783463368,-0.13122648981807297,-0.43780078746248335,0.7967655876995323,-0.05381664858586257,-0.19002269657026105,1.0,0.9340253716410024,0.7937104692918779,-0.20487137817573767,-0.654355398140176,0.9391731956596453,0.9270749480858853,,-0.6543553981401755,,,0.8850076610518673,-0.20159976421003425,-0.20153701847587288,-0.2015307781745693,-0.20152323215959697,0.07118151775312526,-0.2015380321925839,-0.17917922252630544,-0.027053943849546895,-0.10360047235683476,-0.4554217492629319,0.4567393178374778,0.33699109718580356,0.17898428875760858,0.24494094133468394,-0.8930830673489497,-0.28127166617406457,-0.5483077933387962,-0.474450791823566,-0.7641016702105634,-0.28112428815375207,0.6412910574597355,0.6300905595439132,0.9618053826572261
